2024年4月,,,,,,
小區域有感地震,2024/4/6 19:33,121.504,23.8625,3.8,6.1,花蓮縣政府西南方  18.5  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/6 19:29,121.739,24.2622,3.7,10.9,花蓮縣政府北北東方  32.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 19:25,121.76,24.2495,3.5,12.6,花蓮縣政府北北東方  31.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 19:15,121.755,24.2507,3.1,11.8,花蓮縣政府北北東方  31.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 19:14,121.742,24.2515,3.2,11.2,花蓮縣政府北北東方  31.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 18:50,121.566,23.8627,3.1,5.2,花蓮縣政府南南西方  15.2  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/6 18:49,121.535,23.868,4,7.8,花蓮縣政府西南方  16.1  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
160,2024/4/6 18:47,121.713,23.9185,5.3,25.1,花蓮縣政府東南方  12.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/6 18:41,121.602,24.0545,3.7,6.9,花蓮縣政府北北西方  7.3  公里 (位於花蓮縣新城鄉)(花蓮縣新城鄉)
小區域有感地震,2024/4/6 18:08,121.758,24.2357,3.1,12.9,花蓮縣政府北北東方  30.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 17:33,121.723,24.1917,3.6,19,花蓮縣政府北北東方  24.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 17:18,121.735,24.1865,3.5,18.7,花蓮縣政府北北東方  24.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 17:14,121.729,24.2508,3.8,10.1,花蓮縣政府北北東方  30.8  公里 (位於花蓮縣近海)(花蓮縣近海)
159,2024/4/6 17:07,121.738,24.2492,4.1,10.9,花蓮縣政府北北東方  31.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 16:17,121.711,24.1258,3.4,18.1,花蓮縣政府東北方  17.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 16:14,121.554,23.8523,3.8,8.7,花蓮縣政府南南西方  16.8  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
158,2024/4/6 16:10,121.556,23.8472,4.6,5.9,花蓮縣政府南南西方  17.2  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/6 15:55,121.705,24.1198,3.4,16,花蓮縣政府北北東方  16.7  公里 (位於花蓮縣近海)(花蓮縣近海)
157,2024/4/6 15:53,121.705,24.123,4.1,16.9,花蓮縣政府北北東方  17.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 14:52,121.609,23.8603,4.5,31.6,花蓮縣政府南方  14.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 14:39,121.711,24.1095,3.3,5.9,花蓮縣政府東北方  16.1  公里 (位於花蓮縣近海)(花蓮縣近海)
156,2024/4/6 14:02,121.748,23.9523,4.6,23.1,花蓮縣政府東南東方  13.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/6 13:48,121.516,23.7613,3.1,7.2,花蓮縣政府南南西方  27.5  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
155,2024/4/6 13:25,121.734,24.1837,4.2,20.5,花蓮縣政府北北東方  24.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 12:37,121.818,24.2623,3.4,22,花蓮縣政府東北方  36.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 12:30,121.727,24.2085,3.3,16.5,花蓮縣政府北北東方  26.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 12:00,121.725,24.1813,3.5,18.9,花蓮縣政府北北東方  23.6  公里 (位於花蓮縣近海)(花蓮縣近海)
154,2024/4/6 11:52,121.727,24.1898,5.2,16.3,花蓮縣政府北北東方  24.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 11:50,121.671,24.1672,4.2,16.7,花蓮縣政府北北東方  20.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 11:33,121.739,24.2172,3.5,13.3,花蓮縣政府北北東方  27.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 11:20,121.693,24.21,3.3,11.3,花蓮縣政府北北東方  25.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 10:56,121.62,23.9583,4,25.3,花蓮縣政府南方  3.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 10:07,121.664,23.9213,3.8,31,花蓮縣政府南南東方  8.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 09:42,121.983,24.2703,3.7,9.5,花蓮縣政府東北方  48.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/6 09:37,122.037,23.6893,4.8,11.8,花蓮縣政府東南方  54.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/6 09:34,121.682,24.1257,3.8,6.4,花蓮縣政府北北東方  16.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 09:33,121.668,24.1275,3.9,5,花蓮縣政府北北東方  15.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 09:31,121.769,24.2522,3.3,15.3,花蓮縣政府北北東方  32.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 09:26,121.782,24.2453,3.3,16.3,花蓮縣政府北北東方  32.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 08:48,121.825,24.2442,3.4,18.8,花蓮縣政府東北方  34.9  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/6 08:46,121.768,24.2317,3.4,14.7,花蓮縣政府北北東方  30.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 08:45,121.776,24.2288,3.5,15.2,花蓮縣政府北北東方  30.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 08:37,121.757,24.2335,3.5,13.8,花蓮縣政府北北東方  30.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 08:18,121.747,24.239,3.8,15.4,花蓮縣政府北北東方  30.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 07:54,121.696,24.1178,3.6,7.1,花蓮縣政府北北東方  16.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 07:42,121.696,24.12,3.5,6.3,花蓮縣政府北北東方  16.3  公里 (位於花蓮縣近海)(花蓮縣近海)
153,2024/4/6 06:53,121.711,24.1157,4.1,17.2,花蓮縣政府東北方  16.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 06:33,121.724,24.1837,3.6,6.8,花蓮縣政府北北東方  23.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 05:58,121.713,24.2727,3.9,13.3,花蓮縣政府北北東方  32.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/6 05:46,121.73,24.2653,3.1,15,花蓮縣政府北北東方  32.4  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/6 05:38,121.715,24.1672,3.5,10.8,花蓮縣政府北北東方  21.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 05:34,121.647,24.0337,4.4,25.5,花蓮縣政府北北東方  5.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 05:33,121.666,23.9872,3.1,15.9,花蓮縣政府東方  4.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 05:07,121.667,24.1732,3.4,15.4,花蓮縣政府北北東方  20.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 05:03,121.752,24.2258,3.1,14.8,花蓮縣政府北北東方  29.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 04:52,121.665,24.0517,3.5,25.8,花蓮縣政府東北方  8.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 04:36,121.654,23.9823,3.9,37.8,花蓮縣政府東南東方  3.6  公里 (位於花蓮縣近海)(花蓮縣近海)
152,2024/4/6 04:26,121.746,23.9472,5.3,10.3,花蓮縣政府東南東方  13.7  公里 (位於臺灣東部海域)(臺灣東部海域)
151,2024/4/6 04:12,121.711,24.1318,4.4,16.2,花蓮縣政府北北東方  18.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 03:51,121.737,24.1603,3.4,9.6,花蓮縣政府東北方  22.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 03:48,121.735,24.1695,4.2,7.9,花蓮縣政府北北東方  22.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 02:49,121.922,23.8912,4.6,7.9,花蓮縣政府東南東方  32.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/6 02:39,121.701,24.1218,3.5,13.7,花蓮縣政府北北東方  16.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 01:59,121.734,24.1867,3.2,15.4,花蓮縣政府北北東方  24.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 01:46,121.665,24.1658,3.9,25.6,花蓮縣政府北北東方  19.9  公里 (位於花蓮縣近海)(花蓮縣近海)
150,2024/4/6 01:17,121.639,24.0465,4,14.9,花蓮縣政府北北東方  6.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 00:55,121.747,24.2115,3,11.5,花蓮縣政府北北東方  27.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 00:54,121.725,24.1982,3.1,17.5,花蓮縣政府北北東方  25.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 00:40,121.862,24.2707,3.6,10.3,花蓮縣政府東北方  39.6  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/6 00:22,121.787,24.1662,4.3,3.6,花蓮縣政府東北方  25.8  公里 (位於臺灣東部海域)(臺灣東部海域)
149,2024/4/6 00:19,121.753,24.2138,4.2,12.8,花蓮縣政府北北東方  28.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 00:17,121.763,24.2455,3.6,8.8,花蓮縣政府北北東方  31.7  公里 (位於花蓮縣近海)(花蓮縣近海)
148,2024/4/6 00:14,121.814,24.0615,4.2,23.6,花蓮縣政府東北東方  21.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/6 00:09,121.705,24.117,3.8,15.6,花蓮縣政府東北方  16.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 23:55,121.732,24.2195,3.4,16.2,花蓮縣政府北北東方  27.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 23:46,121.672,24.1342,3.7,5,花蓮縣政府北北東方  16.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 23:41,121.742,24.2193,3.3,12.5,花蓮縣政府北北東方  28.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 23:23,121.368,23.23,3.9,17,臺東縣政府北北東方  57.1  公里 (位於臺東縣長濱鄉)(臺東縣長濱鄉)
小區域有感地震,2024/4/5 23:20,121.779,24.2298,3.7,17.6,花蓮縣政府北北東方  31.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 23:19,121.766,24.2352,3.6,17,花蓮縣政府北北東方  30.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 23:14,121.524,23.8575,3.3,12.5,花蓮縣政府西南方  17.8  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/5 23:06,121.732,24.233,3.4,11.1,花蓮縣政府北北東方  29.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 23:02,121.758,24.2342,3.3,15.5,花蓮縣政府北北東方  30.4  公里 (位於花蓮縣近海)(花蓮縣近海)
147,2024/4/5 23:00,121.776,24.206,4.7,5,花蓮縣政府東北方  28.6  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/5 23:00,121.753,24.2355,3.7,16,花蓮縣政府北北東方  30.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 22:46,121.744,24.2372,3.6,15,花蓮縣政府北北東方  30.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 22:35,121.74,24.2313,3.5,11.7,花蓮縣政府北北東方  29.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 22:11,121.629,24.117,3.7,16.8,花蓮縣政府北方  14.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/5 22:11,121.78,24.2535,3.4,17.3,花蓮縣政府北北東方  33.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 21:44,121.584,23.962,3.5,12.8,花蓮縣政府西南方  4.9  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
小區域有感地震,2024/4/5 21:39,121.832,24.2805,3.2,11.2,花蓮縣政府東北方  38.6  公里 (位於花蓮縣近海)(花蓮縣近海)
146,2024/4/5 21:34,121.718,24.1218,4,14.6,花蓮縣政府東北方  17.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 21:26,121.683,24.1692,3.8,6.8,花蓮縣政府北北東方  20.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 21:24,121.73,24.1943,3.5,13,花蓮縣政府北北東方  25.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 21:04,121.765,24.2427,3.3,17.4,花蓮縣政府北北東方  31.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 21:01,121.767,24.2355,3.8,17.3,花蓮縣政府北北東方  30.9  公里 (位於花蓮縣近海)(花蓮縣近海)
145,2024/4/5 20:59,121.761,24.2372,4.4,15.6,花蓮縣政府北北東方  30.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 20:48,121.807,24.2298,3.5,16.6,花蓮縣政府東北方  32.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/5 20:16,121.648,23.8095,3.7,33.5,花蓮縣政府南方  20.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 20:14,121.699,24.1233,3.7,15.3,花蓮縣政府北北東方  16.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 20:14,121.784,24.1998,3.5,5.3,花蓮縣政府東北方  28.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/5 19:51,121.698,24.1393,3.8,17.6,花蓮縣政府北北東方  18.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 19:51,121.616,24.0878,3.5,5.9,花蓮縣政府北方  10.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 19:44,121.575,24.1795,3.7,20.4,花蓮縣政府北北西方  21.4  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/5 19:44,121.676,24.1803,3.7,14,花蓮縣政府北北東方  21.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 19:21,121.668,24.1388,3.9,5.9,花蓮縣政府北北東方  17.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 18:47,121.615,24.0858,3.2,6.8,花蓮縣政府北方  10.5  公里 (位於花蓮縣新城鄉)(花蓮縣新城鄉)
小區域有感地震,2024/4/5 18:42,121.746,24.2165,3.5,13.4,花蓮縣政府北北東方  28.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 18:25,121.902,24.2272,3.9,9.4,花蓮縣政府東北方  38.8  公里 (位於臺灣東部海域)(臺灣東部海域)
144,2024/4/5 18:08,121.68,24.1277,4.1,12.7,花蓮縣政府北北東方  16.3  公里 (位於花蓮縣近海)(花蓮縣近海)
143,2024/4/5 17:53,121.763,24.2177,4.1,14.5,花蓮縣政府北北東方  29.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 17:39,121.744,24.3117,3.1,14.6,花蓮縣政府北北東方  37.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/5 17:16,121.795,24.0645,4.1,9.1,花蓮縣政府東北東方  19.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/5 17:15,121.569,23.8037,3.2,8,花蓮縣政府南南西方  21.4  公里 (位於花蓮縣近海)(花蓮縣近海)
142,2024/4/5 17:04,121.656,24.026,4.5,29.6,花蓮縣政府東北方  5.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 15:58,121.594,24.0932,3.6,7.4,花蓮縣政府北北西方  11.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/5 15:49,121.76,24.2578,3.2,5,花蓮縣政府北北東方  32.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 15:30,121.629,24.0727,3.9,10.6,花蓮縣政府北方  9.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 15:07,121.678,24.1045,3.6,14.6,花蓮縣政府北北東方  13.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 14:50,121.761,24.2263,3.6,12.6,花蓮縣政府北北東方  29.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 14:32,121.696,24.1022,3.3,14.4,花蓮縣政府東北方  14.5  公里 (位於花蓮縣近海)(花蓮縣近海)
141,2024/4/5 14:16,121.685,24.1357,4.5,17.6,花蓮縣政府北北東方  17.3  公里 (位於花蓮縣近海)(花蓮縣近海)
140,2024/4/5 14:12,121.591,23.7993,5.1,10,花蓮縣政府南方  21.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 13:53,121.696,24.0957,3.3,16.9,花蓮縣政府東北方  13.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 13:50,121.867,24.2017,3.8,24.6,花蓮縣政府東北方  34.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/5 13:40,121.777,24.1908,3.3,19.8,花蓮縣政府東北方  27.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/5 13:27,121.71,24.1163,3.5,17.3,花蓮縣政府東北方  16.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 13:18,121.501,23.7538,3.6,15.6,花蓮縣政府南南西方  28.9  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
小區域有感地震,2024/4/5 13:03,121.71,24.1148,4,16.4,花蓮縣政府東北方  16.5  公里 (位於花蓮縣近海)(花蓮縣近海)
139,2024/4/5 13:02,121.692,24.1305,4.1,16.1,花蓮縣政府北北東方  17.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 12:57,121.689,24.089,3.4,14.8,花蓮縣政府東北方  12.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 12:51,121.688,24.112,4.1,17,花蓮縣政府北北東方  15.1  公里 (位於花蓮縣近海)(花蓮縣近海)
138,2024/4/5 12:50,121.682,24.1305,5.4,8.3,花蓮縣政府北北東方  16.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 12:43,121.785,24.1703,3.5,14.4,花蓮縣政府東北方  26.0  公里 (位於臺灣東部海域)(臺灣東部海域)
137,2024/4/5 12:40,121.756,24.2055,4.7,8.6,花蓮縣政府北北東方  27.5  公里 (位於花蓮縣近海)(花蓮縣近海)
136,2024/4/5 12:36,121.752,24.2213,4,13.7,花蓮縣政府北北東方  28.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 12:35,121.532,23.8982,3.1,10.6,花蓮縣政府西南方  13.6  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/5 12:08,121.738,24.2405,3.4,13.3,花蓮縣政府北北東方  30.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 12:04,121.732,24.1325,3.5,17.1,花蓮縣政府東北方  19.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 11:47,121.529,23.7793,4,17.9,花蓮縣政府南南西方  25.2  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/5 11:41,121.672,24.0428,4,38.8,花蓮縣政府東北方  7.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 11:39,121.749,24.2302,3.7,12.6,花蓮縣政府北北東方  29.5  公里 (位於花蓮縣近海)(花蓮縣近海)
135,2024/4/5 10:10,121.587,23.925,4.2,6.8,花蓮縣政府南南西方  8.0  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
小區域有感地震,2024/4/5 10:08,121.705,24.1275,3.7,14.5,花蓮縣政府北北東方  17.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 10:01,121.739,24.2777,3.2,14.9,花蓮縣政府北北東方  34.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/5 09:53,121.802,24.063,4,24,花蓮縣政府東北東方  20.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/5 09:29,121.67,24.1632,4,15.5,花蓮縣政府北北東方  19.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 09:24,121.672,24.1703,3.7,26.6,花蓮縣政府北北東方  20.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 09:20,121.758,24.2543,3.7,12.6,花蓮縣政府北北東方  32.4  公里 (位於花蓮縣近海)(花蓮縣近海)
134,2024/4/5 09:17,121.769,24.2478,4.1,13.8,花蓮縣政府北北東方  32.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 09:10,121.64,24.052,3.6,23.6,花蓮縣政府北北東方  7.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 09:02,121.825,24.3303,3.6,9.6,宜蘭縣政府南方  44.8  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2024/4/5 08:42,121.663,24.1585,3.9,25.9,花蓮縣政府北北東方  19.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 08:35,121.754,24.23,3.3,14.7,花蓮縣政府北北東方  29.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 08:29,121.672,23.9798,3.8,36.1,花蓮縣政府東南東方  5.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 08:17,121.744,24.226,3.6,11.3,花蓮縣政府北北東方  28.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 07:57,121.748,24.243,3.2,11.7,花蓮縣政府北北東方  30.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 07:34,121.574,23.7135,3.7,7.5,花蓮縣政府南方  31.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 06:23,121.746,24.2292,3.5,12,花蓮縣政府北北東方  29.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 06:14,121.747,24.2245,3.4,11.2,花蓮縣政府北北東方  28.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 06:08,121.637,23.8678,3.9,38,花蓮縣政府南方  13.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/5 05:54,121.65,24.176,3.8,31,花蓮縣政府北方  20.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
